date,coin,open,high,low,close,volume,tweet_count,avg_score,pct_positive,pct_negative,pct_neutral,sentiment_gap,vader_mean,vader_std,vader_pos_mean,vader_neg_mean,sentiment_7d_avg,sentiment_7d_std,sentiment_momentum,volume_7d_avg,price_return,price_7d_volatility,price_7d_momentum
2020-02-19,BTC,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,46992019710,2,2.0,0.0,0.0,1.0,False,0.4061,0.25427559851468245,0.193,0.0,2.4285714285714284,0.5345224838248488,-1.0,0.7142857142857143,-0.05014884351152826,0.033128428879888545,-0.0670796339659614
2020-02-20,BTC,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,44925260237,1,2.0,0.0,0.0,1.0,False,-0.4389,0.0,0.0,0.112,2.2857142857142856,0.487950036474267,0.0,0.8571428571428571,-0.0025859164113087862,0.03321570586945303,-0.05931875491477867
2020-02-21,BTC,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,40930547513,0,2.0,0.0,0.0,1.0,True,,,,,2.142857142857143,0.3779644730092282,0.0,0.8571428571428571,0.008114275736580634,0.03309018972399522,-0.060673754241043265
2020-02-22,BTC,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,35838025154,1,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.142857142857143,0.3779644730092282,0.0,0.8571428571428571,-0.002401270461409255,0.02981427622465587,-0.022877282403245824
2020-02-23,BTC,9663.318359375,9937.404296875,9657.791015625,9924.515625,41185185761,1,2.0,0.0,0.0,1.0,False,0.7579,0.0,0.168,0.036,2.142857142857143,0.3779644730092282,0.0,0.8571428571428571,0.02704430011708836,0.03189318032360237,-0.0009983426489699188
2020-02-24,BTC,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,45080496648,0,2.0,0.0,0.0,1.0,True,,,,,2.142857142857143,0.3779644730092282,0.0,0.8571428571428571,-0.027642741538078885,0.032308291298006934,-0.004124580532769984
2020-02-25,BTC,9651.3125,9652.7373046875,9305.021484375,9341.705078125,42515259129,1,2.0,0.0,0.0,1.0,False,0.714,0.0,0.206,0.066,2.0,0.0,0.0,0.8571428571428571,-0.031965195740564556,0.026475323713191244,-0.0789086298424212
2020-02-26,BTC,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,50420050762,0,2.0,0.0,0.0,1.0,True,,,,,2.0,0.0,0.0,0.5714285714285714,-0.05579095174048332,0.02790023490291684,-0.08437990517191396
2020-02-27,BTC,8825.09375,8932.892578125,8577.19921875,8784.494140625,45470195695,0,2.0,0.0,0.0,1.0,True,,,,,2.0,0.0,0.0,0.42857142857142855,-0.0040846016176541156,0.02782001896686576,-0.0857556891249679
2020-02-28,BTC,8788.728515625,8890.4560546875,8492.9326171875,8672.455078125,44605450443,2,3.0,1.0,0.0,0.0,False,0.5927,0.35567471093683334,0.135,0.0,2.142857142857143,0.3779644730092282,1.0,0.7142857142857143,-0.012754184897438958,0.026335139859820278,-0.10468099538296327
2020-02-29,BTC,8671.212890625,8775.6318359375,8599.5087890625,8599.5087890625,35792392544,1,3.0,1.0,0.0,0.0,False,0.7184,0.0,0.158,0.0,2.2857142857142856,0.487950036474267,0.0,0.7142857142857143,-0.008411261679117432,0.02593680031975289,-0.11007480673763914
2020-03-01,BTC,8599.7587890625,8726.796875,8471.212890625,8562.4541015625,35349164300,0,3.0,1.0,0.0,0.0,True,,,,,2.4285714285714284,0.5345224838248488,0.0,0.5714285714285714,-0.0043089307085921735,0.01899722959577942,-0.13724211587782154
